Line 1: explanation. Line 2: headings. Lines 3+: items.,,,,,,,,,
name,description,price,durability,increaseHappinessCat,increaseHappinessDog,increaseHappinessGoat,increaseHappinessHorse,increaseHappinessAlpaca,increaseHappinessPolarBear
Ball,a bouncy ball,5,10,20,20,5,5,5,20
Scratching post,tall post perfect to scratch that itch,10,20,50,2,5,5,5,5
Tug of war rope,thick knotted rope,2,5,1,40,0,0,0,10
Old shoe,1 previous owner,1,4,1,40,5,0,0,1
Ice block,large block of ice,20,120,-10,2,2,2,2,50
Catnip mouse,a cloth mouse stuffed with catnip,5,5,60,5,0,0,0,1
Water jug,a gallon water cooler jug,10,10,0,0,0,0,0,0
Tyre,car not attached,20,20,0,5,10,10,10,40
Goat standing platform,perfect for standing,50,50,5,0,50,0,0,10
Jolly ball,a large weighted ball,10,10,20,20,5,5,5,30
Bone,large calf bone,5,8,0,75,-20,-20,-20,10
