Line 1: explanation. Line 2: headings. Lines 3+: items.,,,,,,,,,
name,description,price,portionSize,increaseHealthCat,increaseHealthDog,increaseHealthGoat,increaseHealthHorse,increaseHealthAlpaca,increaseHealthPolarBear
Cat biscuits,dry biscuits any cat will love,5,2,20,2,-2,-2,-2,1
Dog biscuits,dry biscuits any dog will love,10,2,5,20,-2,-2,-2,1
Dry hay,hay freshly harvested from a local farm,20,10,0,0,10,40,30,0
Dry grass,dry grass cut from the finest of lawns,20,10,5,0,10,30,40,0
Lettuce,crisp lettuce,2,4,2,2,20,20,20,0
Canned fish,possibly sardines - maybe haddock,6,3,50,20,-10,-20,-20,5
Silage,fermented grass prepared for winter,15,10,0,0,10,30,30,0
Seal meat,fatty meat harvested from Kaikoura seals,50,10,20,20,-50,-50,-50,100
Wet cat food,mystery meat,15,5,40,2,-2,-2,-2,1
Dog roll,mystery meat,25,5,5,30,-10,-10,-10,3
Goat nuts,a special treat for your goat. Contains nuts,20,4,2,2,30,0,0,0
Chocolate,delicious dark chocolate,5,2,-80,-80,-80,-80,-80,30
Off fish,it was fresh when we caught it,2,3,-30,-30,-80,-80,-80,-15
Test,Test,1,2,3,4,5,6,7,8
